frameID,p_error
1000,0
1001,0.000158714
1005,0.00194514
1007,0.00259975
1009,0.00262565
1012,0.00341114
1014,0.00334042
1017,0.00382799
1020,0.00481712
1022,0.0055087
1025,0.0106224
1027,0.0145233
1029,0.0159471
1032,0.0171849
1034,0.0183148
1036,0.0207135
1038,0.0214575
1040,0.022781
1042,0.0234165
1044,0.0243468
1046,0.0272429
1048,0.0318081
1050,0.0370608
1052,0.0424469
1054,0.0466011
1056,0.0501151
1058,0.052739
1060,0.0555749
1062,0.0589257
1064,0.0598244
1066,0.0589519
1068,0.0578703
1070,0.0571899
1072,0.0579728
1074,0.0584128
1076,0.0605744
1078,0.0641583
1080,0.0676846
1082,0.0680313
1084,0.0682158
1086,0.0677585
1088,0.0680991
1090,0.070189
1092,0.0742254
1094,0.0771207
1096,0.079461
1098,0.0826465
1100,0.0866476
1102,0.0911081
1104,0.0971563
1106,0.100875
1108,0.108401
1110,0.113378
1112,0.118555
1114,0.123843
1116,0.12718
1118,0.131023
1120,0.132064
1122,0.129837
1124,0.124109
1126,0.106962
1128,0.092164
1130,0.0839127
1133,0.0745534
1135,0.0694845
1137,0.0675822
1139,0.0661019
1141,0.0647741
1143,0.063967
1145,0.06446
1147,0.0666274
1150,0.0710931
1152,0.0741174
1154,0.0751535
1156,0.0743402
1158,0.0744621
1160,0.0751177
1162,0.0747059
1164,0.0745047
1166,0.0753641
1168,0.0763819
1170,0.0776388
1172,0.0787198
1174,0.0795548
1176,0.0800836
1178,0.0803706
1180,0.0821471
1182,0.0832002
1184,0.0856705
1186,0.0885646
1188,0.0919878
1190,0.0954601
1192,0.0998402
1195,0.108603
1197,0.113366
1200,0.120962
1202,0.123631
1205,0.129472
1207,0.133807
1210,0.138759
1212,0.140885
1214,0.141466
1217,0.144654
1219,0.148872
1222,0.152522
1224,0.151012
1226,0.148469
1228,0.147119
1230,0.148473
1232,0.149958
1234,0.151929
1236,0.156964
1238,0.163708
1240,0.168736
1242,0.173332
1245,0.180527
1247,0.183749
1249,0.187711
1252,0.195772
1254,0.201168
1256,0.207977
1259,0.219348
1261,0.227423
1264,0.238683
1266,0.246251
1268,0.253807
1270,0.259391
1272,0.264804
1274,0.268819
1276,0.271975
1278,0.273805
1280,0.272065
1282,0.268332
1284,0.263241
1286,0.258994
1288,0.255448
1290,0.252484
1292,0.248662
1294,0.244356
1296,0.239804
1298,0.23382
1300,0.227422
1302,0.223529
1304,0.222768
1306,0.225482
1308,0.229368
1310,0.233206
1312,0.234594
1314,0.234362
1316,0.234207
1318,0.234195
1320,0.230501
1322,0.226417
1324,0.222972
1326,0.21794
1329,0.210746
1331,0.206667
1333,0.206075
1335,0.206613
1337,0.206839
1339,0.204738
1341,0.202157
1343,0.197699
1345,0.193508
1347,0.190881
1349,0.188866
1351,0.186294
1353,0.182045
1355,0.174362
1357,0.1646
1359,0.154396
1361,0.142595
1363,0.130834
1365,0.121009
1367,0.115597
1369,0.110435
1371,0.107832
1374,0.104775
1376,0.103884
1378,0.102112
1380,0.0999615
1382,0.0988377
1384,0.0987927
1386,0.0995798
1388,0.10174
1390,0.104762
1392,0.108518
1394,0.113134
1396,0.119257
1398,0.126543
1400,0.134791
1402,0.143844
1404,0.152393
1406,0.159479
1411,0.173851
1413,0.176046
1415,0.176791
1417,0.17853
1419,0.180425
1421,0.181737
1423,0.183093
1425,0.183756
1427,0.184222
1429,0.185217
1431,0.186763
1433,0.18916
1435,0.192319
1437,0.195409
1439,0.199177
1441,0.200702
1443,0.200714
1445,0.199588
1447,0.198146
1449,0.197
1451,0.196808
1454,0.19699
1457,0.197173
1459,0.197198
1461,0.197867
1464,0.199
1466,0.199249
1468,0.198415
1470,0.197374
1472,0.195954
1474,0.194412
1476,0.192904
1478,0.188757
1480,0.186425
1482,0.184334
1484,0.1821
1486,0.179682
1488,0.177075
1490,0.173855
1492,0.168423
1494,0.164698
1496,0.162969
1498,0.161134
1500,0.158692
1502,0.15751
1504,0.156463
1506,0.155692
1508,0.155022
1510,0.154008
1512,0.152565
1514,0.151623
1516,0.150827
1518,0.149543
1520,0.147179
1522,0.145095
1524,0.143877
1526,0.142697
1528,0.141387
1530,0.139922
1532,0.142488
1534,0.14193
1536,0.141971
1538,0.141762
1540,0.141848
1542,0.144094
1544,0.145271
1546,0.144291
1548,0.141602
1550,0.136513
1552,0.131506
1554,0.126522
1556,0.123813
1558,0.122136
1560,0.120453
1562,0.130538
